year,party_abbreviation,ac_name,matched_ac_name,dist_name,cand_name,total_valid_votes,position
1993,IND,JIRANG,Jirang,RI BHOI,A. BLINGSTODAR DIENGDOH,141,6
1993,HPU,JAIAW,N/A,"SHILLONG, DC",A. H. SCOTT LYNGDOH,6346,1
1993,IND,PYNTHORUMKHRAH,Pynthorumkhrah,EAST KHASI HILLS,A. L. HEK,2758,3
1993,IND,MAHENDRAGANJ,Mahendraganj,SOUTH WEST GARO HILLS,ABDUL HUSSAIN SARKAR,1984,5
1993,INC,DALAMGIRI,N/A,"TURA, DC",ADMIRAL K. SANGMA,3748,1
1993,INC,RANGSAKONA,Rangsakona,WEST GARO HILLS,ADOLF LU HITLER R. MARAK,5474,1
1993,INC,PHULBARI,Phulbari,WEST GARO HILLS,AKRAMOZ ZAMAN,3376,2
1993,BJP,KHERAPARA,N/A,"TURA, DC",ALBERT ROJIN SANGMA,194,10
1993,INC,RONGRENGGIRI,N/A,"WILLIAMNAGAR, DC",ALBINSTONE M. SANGMA,3709,2
1993,IND,PYNTHORUMKHRAH,Pynthorumkhrah,EAST KHASI HILLS,ALFRED LYNGDOH,21,7
1993,IND,KHERAPARA,N/A,"TURA, DC",ALFRIEN MARAK,1007,4
1993,CPI,MAHENDRAGANJ,Mahendraganj,SOUTH WEST GARO HILLS,ALLAUDDIN SHEIK,106,6
1993,INC,MAWLAI,Mawlai,EAST KHASI HILLS,ANTHONY JALA KHARBHIH,1540,4
1993,HPU,LABAN,N/A,"SHILLONG, DC",ANTHONY LYNGDOH,3698,1
1993,HPU,DALU,Dalu,WEST GARO HILLS,ANTHONY MARAK,985,4
1993,INC,DALU,Dalu,WEST GARO HILLS,ARCHIBOLD A. SANGMA,4631,1
1993,APHLC(A),DALAMGIRI,N/A,"TURA, DC",ARMISON MARAK,2141,3
1993,INC,SELSELLA,Selsella,WEST GARO HILLS,ATUL C MARAK,4823,1
1993,IND,DADENGGIRI,Dadenggre,"TURA, DC",AUGUSTINE D. MARAK,4399,1
1993,HPU,MAWKYRWAT,Mawkyrwat,SOUTH WEST KHASI HILLS,B. BIRES NONGSIEJ,4755,2
1993,IND,PYNTHORUMKHRAH,Pynthorumkhrah,EAST KHASI HILLS,B. MASSAR,406,5
1993,HPU,LANGRIN,Ranikor,"MAWKYRWAT, SDO(C )",BAKSTARWELL WANNIANG,5422,2
1993,HPU,SELSELLA,Selsella,WEST GARO HILLS,BARTHIAR MARAK,4416,2
1993,IND,RONGCHUGIRI,N/A,"TURA, DC",BECKSTER SANGMA,6806,1
1993,BJP,DALU,Dalu,WEST GARO HILLS,BEHARON SANGMA,981,5
1993,HPU,MENDIPATHAR,Mendipathar,NORTH GARO HILLS,BENINSTAND G. MOMIN,6195,2
1993,IND,SUTNGA SHANGPUNG,Sutnga-Saipung,"KHLIEHRIAT, SDO(C )",BERYL SUTNGA,2393,3
1993,CPI,PYNTHORUMKHRAH,Pynthorumkhrah,EAST KHASI HILLS,BIMOLENDU K. DEB ROY,114,6
1993,HPU,MALKI NONGTHYMMAI,N/A,"SHILLONG, DC",BINDO M. LANONG,4059,2
1993,BJP,AMPATIGIRI,Ampati,"AMPATIGIRI,  SDO(C )",BIPRAMOHON KOCH,1515,4
1993,IND,MAWPREM,N/A,"SHILLONG, DC",BIR BAHADUR CHETRI,1944,3
1993,BJP,RAJABALA,Rajabala,WEST GARO HILLS,BIREN HAJONG,3831,2
1993,BJP,DALAMGIRI,N/A,"TURA, DC",BLAN CLEVER SANGMA,357,5
1993,BJP,PYNTHORUMKHRAH,Pynthorumkhrah,EAST KHASI HILLS,BRAHMA PRAKASH SINGH,3786,2
1993,INC,KHERAPARA,N/A,"TURA, DC",BRENING A SANGMA,3546,1
1993,HPU,LYNGKYRDEM,Mawkynrew,"SHILLONG, DC",BRINGTON BUHAI LYNGDOH,7989,1
1993,IND,MALKI NONGTHYMMAI,N/A,"SHILLONG, DC",BULL N. LYNGDOH,1391,3
1993,IND,LABAN,N/A,"SHILLONG, DC",CARLAND M. NONGLAIT,277,5
1993,IND,RONGRAM,N/A,"TURA, DC",CARY MARAK,2378,3
1993,HPU,KHERAPARA,N/A,"TURA, DC",CHAMBERLIN MARAK,1883,2
1993,INC,BAJENGDOBA,Bajengdoba,NORTH GARO HILLS,CHAMBERLINE B. MARAK,6555,1
1993,MPPP,CHOKPOT,Chokpot,Baghmara,CHEMBERLIND SANGMA,693,5
1993,MPPP,RANGSAKONA,Rangsakona,WEST GARO HILLS,CHESTERFIELD W. MARAK,2879,2
1993,HPU,RANGSAKONA,Rangsakona,WEST GARO HILLS,CLEMENT MARAK,1516,3
1993,APHLC(A),MAWHATI,Mawhati,RI BHOI,CLEMENT SHADAP,2567,3
1993,HPU,CHOKPOT,Chokpot,Baghmara,CLIFFORD MARAK,3138,2
1993,HSPDP,NONGPOH,Nongpoh,RI BHOI,CONSTANTINE LYNGDOH,7474,1
1993,IND,RYMBAI,N/A,"KHLIEHRIAT, SDO(C )",CORINTH SWER,1543,4
1993,APHLC(A),RONGRAM,N/A,"TURA, DC",CRUNDEN S. SANGMA,1980,5
1993,BJP,PARIONG,N/A,"NONGSTOIN, DC",D. DARIUS LYNGDOH,416,3
1993,INC,PARIONG,N/A,"NONGSTOIN, DC",D. ROCKYER L. NONGLAIT,3880,2
1993,IND,MAWSYNRAM,Mawsynram,EAST KHASI HILLS,D. PLASLANDING IANGJUH,4143,2
1993,IND,NONGSPUNG,N/A,"SHILLONG, DC",DANIEL S. LYNGDOH,258,6
1993,APHLC(A),SOHRYNGKHAM,Mawryngkneng,"SHILLONG, DC",DAPMAIN KHRYIEMMUJAT,3536,2
1993,JD(B),NARTIANG,Nartiang,WEST JAINTIA HILLS,DARLING WAVEL LAMARE,26,7
1993,IND,DADENGGIRI,Dadenggre,"TURA, DC",DENISON SANGMA,2845,4
1993,IND,MYLLIEM,Mylliem,EAST KHASI HILLS,DENTIST MOHON ROY KHARBANGAR,597,4
1993,INC,MAHENDRAGANJ,Mahendraganj,SOUTH WEST GARO HILLS,DHABAL CHANDRA BARMAN,2630,2
1993,INC,MAWPREM,N/A,"SHILLONG, DC",DHRUBANATH JOSHI,3062,1
1993,JP,MAWLAI,Mawlai,EAST KHASI HILLS,DIN SINGH DKHAR,215,5
1993,APHLC(A),MAWSYNRAM,Mawsynram,EAST KHASI HILLS,DLINGKLINSON ROY WANNIANG,1649,4
1993,INC,LYNGKYRDEM,Mawkynrew,"SHILLONG, DC",DOMINIC ROBLIN NONGKYNRIH,5212,2
1993,IND,RONGRENGGIRI,N/A,"WILLIAMNAGAR, DC",DONBOSH N. SANGMA,1044,6
1993,IND,SHELLA,Shella,EAST KHASI HILLS,DONKUPAR ROY,3905,1
